127.0.0.1, 2015-03-30 09:16:13, GET, /, HTTP/1.1, 303, 0.001303
127.0.0.1, 2015-03-30 09:16:15, GET, /welcome/default/index, HTTP/1.1, 200, 1.366921
127.0.0.1, 2015-03-30 09:17:18, GET, /admin/default/index, HTTP/1.1, 200, 0.275967
127.0.0.1, 2015-03-30 09:17:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000549
127.0.0.1, 2015-03-30 09:17:27, POST, /admin/default/index, HTTP/1.1, 303, 0.033661
127.0.0.1, 2015-03-30 09:17:27, GET, /admin/default/site, HTTP/1.1, 200, 0.050887
127.0.0.1, 2015-03-30 09:17:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000425
127.0.0.1, 2015-03-30 09:17:27, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.267495
127.0.0.1, 2015-03-30 09:18:14, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.628695
127.0.0.1, 2015-03-30 09:18:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000490
127.0.0.1, 2015-03-30 09:18:19, GET, /admin/default/edit/examples/models/database_examples/db.py, HTTP/1.1, 200, 0.152081
127.0.0.1, 2015-03-30 09:18:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000441
127.0.0.1, 2015-03-30 09:18:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000446
127.0.0.1, 2015-03-30 09:18:29, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.027977
127.0.0.1, 2015-03-30 09:34:49, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.536694
127.0.0.1, 2015-03-30 09:34:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000429
127.0.0.1, 2015-03-30 09:35:25, GET, /admin/default/site, HTTP/1.1, 200, 0.050186
127.0.0.1, 2015-03-30 09:35:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000434
127.0.0.1, 2015-03-30 09:35:25, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.234998
127.0.0.1, 2015-03-30 09:35:27, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.426459
127.0.0.1, 2015-03-30 09:35:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000440
127.0.0.1, 2015-03-30 09:37:13, GET, /admin/default/site, HTTP/1.1, 200, 0.044945
127.0.0.1, 2015-03-30 09:37:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000454
127.0.0.1, 2015-03-30 09:37:13, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.206463
127.0.0.1, 2015-03-30 09:37:15, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.414477
127.0.0.1, 2015-03-30 09:37:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000451
127.0.0.1, 2015-03-30 09:38:56, GET, /admin/default/site, HTTP/1.1, 200, 0.047142
127.0.0.1, 2015-03-30 09:38:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000435
127.0.0.1, 2015-03-30 09:38:56, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.264913
127.0.0.1, 2015-03-30 09:38:59, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.480238
127.0.0.1, 2015-03-30 09:38:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000446
127.0.0.1, 2015-03-30 09:39:26, GET, /admin/default/site, HTTP/1.1, 200, 0.061976
127.0.0.1, 2015-03-30 09:39:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000424
127.0.0.1, 2015-03-30 09:39:26, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.200333
127.0.0.1, 2015-03-30 09:39:28, GET, /admin/default/index, HTTP/1.1, 303, 0.009327
127.0.0.1, 2015-03-30 09:39:29, GET, /admin/default/site, HTTP/1.1, 200, 0.043070
127.0.0.1, 2015-03-30 09:39:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000431
127.0.0.1, 2015-03-30 09:39:29, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.178186
127.0.0.1, 2015-03-30 09:39:35, GET, /admin/default/index, HTTP/1.1, 303, 0.007139
127.0.0.1, 2015-03-30 09:39:35, GET, /admin/default/site, HTTP/1.1, 200, 0.041794
